Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
297,532.3,311.76,361.63,509.99,114.92,-0.5,105.22,6.16,220.54,41.43,65507.94,20235,0.48,7468,-5460,12298,-9115,21.93,54.6,510.74,318.05,8.57,12.7,91.06,3.5,Control
300,552.83,328.21,369.93,525.48,117.51,-0.57,105.6,5.58,224.62,40.63,67385,21277,0.47,7531,-5522,11481,-9557,15.84,58.08,529.93,330.8,8.63,12.5,101.18,3.66,Control
308,558.83,348.15,387.05,479.54,116.72,-2.31,105.03,3.29,210.68,37.7,64825.86,20110,0.5,7593,-5915,17861,-9042,13.88,61.25,532.15,351.63,7.87,12.19,92.13,4.01,Control
299,532.82,342.29,388.24,474.35,112.49,-2.46,104.8,4.55,190.53,35.76,56874.49,18206,0.55,7452,-6056,16602,-6518,13.85,55.66,517.18,345.92,7.99,12.52,94.37,4.19,Control
299,525.19,322.73,378.68,499.48,114.32,-0.19,106.76,6.21,202.46,38.55,60435.47,18519,0.53,7672,-5522,19265,-8818,17.19,55.11,494.88,328.28,8.7,13.18,91.01,3.65,Control
296,550.24,321.61,367.41,516.66,117.18,-0.55,105.79,5.8,228.62,41.55,67573.41,20999,0.46,7687,-5460,14453,-13933,17.93,55.87,525.93,325.54,8.61,12.47,128.99,4.83,Control
305,558.39,338.66,375.93,486.95,117.77,-1.91,105.4,3.47,219.73,39.35,66923.57,21197,0.48,7734,-5773,13491,-10822,16.69,53.25,538.45,343.03,8.18,12.31,90.37,3.81,Control
302,543.34,346.59,391.57,481.91,113.6,-2.68,105.69,3.75,196.76,36.21,59323.86,18694,0.54,7546,-6040,18454,-11487,14.76,58.72,523.63,352.59,7.86,12.5,88.56,3.81,Control
299,531.04,329.99,385.05,490.28,112.56,-0.14,105.91,6.59,201.05,37.86,60016.32,18509,0.53,7531,-5569,16009,-6960,18.94,59.44,505.62,335.55,8.81,13.21,84.66,3.52,Control
294,548.98,315.98,363.41,515.48,116.39,-0.55,105.21,5.99,232.99,42.44,68527.41,21046,0.45,7562,-5601,13709,-11639,19.05,57.03,518.15,320.58,8.67,12.23,96.71,3.64,Control
303,560.31,329.25,370.38,512.52,118.24,-0.58,105.6,4.36,231.07,41.24,70020.77,22097,0.46,7860,-5617,10749,-10598,102.51,61.39,530.6,333.99,8.48,12.52,97.96,3.73,Control
308,558.53,355.92,393.13,478.72,115.81,-2.48,105.08,3.29,202.61,36.28,62341.58,19384,0.52,7672,-6385,20675,-10150,13.11,61.64,536.08,359.56,7.99,11.85,108.03,4.71,Control
313,529.93,337.85,388.01,485.09,112.13,-2.18,105.83,5.79,192.09,36.25,60026.57,17882,0.55,7531,-5915,15863,-6004,15.06,59.07,509.18,344.44,8.27,12.79,81.84,3.48,Control
303,520.74,307.46,361.78,501.77,114.38,-0.27,106.31,6.1,213.29,40.96,64632.3,19317,0.5,7421,-5601,16596,-11040,20.82,53.36,492.21,315.17,8.65,12.47,97.63,3.88,Control
305,550.24,325.91,373.79,527.19,117.51,-0.41,107.22,5.11,224.33,40.77,68322.69,20767,0.48,7640,-5507,13787,-11409,18.65,57.39,521.71,330.43,8.5,12.45,94.61,3.4,Control
305,562.02,355.63,394.98,482.87,116.72,-2.48,106.56,3.28,206.39,36.72,62860.78,19536,0.52,7844,-6401,22678,-10077,14.65,57.89,536.82,360.15,8.04,11.77,86.5,3.71,Control
308,532.3,342.37,377.86,488.65,113.24,-2.43,103.39,5.55,189.94,35.68,58441.97,18393,0.54,7703,-6134,15561,-6524,14.84,59.46,517.48,346.66,8.25,12.77,92.87,3.89,Control
306,524.67,308.72,360.37,501.18,115.03,-0.25,106.7,5.9,215.95,41.16,66107.03,19784,0.49,7593,-5601,19271,-13267,20.46,53.29,495.77,314.5,8.65,12.87,99.88,3.98,Control
300,548.68,325.54,367.71,523.26,117.54,-0.6,105.79,5.77,223.14,40.67,66941.96,20553,0.47,7687,-5507,17564,-10374,16.86,53.67,524.52,329.25,8.59,12.48,91.53,3.34,Control
303,558.09,340.66,380.61,483.54,117.84,-2.2,106.89,3.43,217.43,38.96,65888.63,20716,0.49,7891,-5946,19495,-11270,15.26,58.02,530.23,346.37,8.04,12.26,89.18,3.81,Control
308,538.38,343.4,392.31,480.2,113.91,-2.75,107.62,3.42,194.98,36.22,59993.25,18874,0.55,7656,-6417,14744,-10452,15.88,54.47,523.93,347.77,7.79,12.69,88.15,3.82,Control
293,531.19,320.13,359.19,490.87,113.44,0.11,102.76,6.43,211.06,39.73,61773.45,19548,0.49,7687,-5836,17715,-8225,16.64,55.94,507.85,325.77,8.73,12.93,91.61,3.8,Control
291,552.31,317.98,364.23,518.37,118.06,-0.47,106.76,6.18,234.33,42.43,68251.68,21730,0.46,7672,-5491,13339,-11784,17.88,62.94,515.63,323.69,8.76,12.58,103.31,3.84,Control
309,563.8,330.29,368.97,524.15,119.37,-0.8,106.73,3.83,233.51,41.42,72220.73,22579,0.46,7860,-5695,13116,-12746,102.99,59.93,534,334.29,8.4,12.34,109.41,3.98,Control
306,549.42,353.41,394.76,482.5,115.75,-2.64,106.87,3.15,196.01,35.68,60003.99,18980,0.55,7750,-6527,14381,-9563,18.09,57.69,524.45,357.04,7.8,11.94,81.56,3.5,Control
300,530,336.07,382.68,482.28,112.86,-2.34,105.74,6.35,193.94,36.59,58181.12,18366,0.55,7531,-6071,13787,-5931,16.61,55.82,509.55,339.18,8.5,12.83,85.26,3.67,Control
296,534.3,306.94,358.3,504.66,115.84,-0.49,107.07,6.16,227.36,42.55,67199.53,20736,0.47,7656,-5726,14157,-9932,20.3,52.76,511.4,313.46,8.67,12.67,96.3,3.78,Control
299,558.02,325.91,367.19,532.82,118.53,-0.66,106.41,4.91,232.11,41.6,69286.43,21787,0.46,7797,-5617,10670,-10816,18.78,58.11,533.04,329.03,8.7,12.51,102.76,3.62,Control
305,559.42,358.96,397.06,486.35,117.24,-2.5,106.79,3.31,200.46,35.83,61054.28,19628,0.53,7844,-6354,15712,-8594,13.99,56.46,540.3,363.78,7.98,12.2,90.53,3.83,Control
305,534.3,342.29,380.16,486.06,113.11,-2.65,104.09,5.79,192.01,35.94,58480.93,18278,0.54,7687,-5977,11191,-6670,15.48,53.53,515.26,348.22,8.3,13.11,95.5,4.04,Control
296,521.11,309.39,361.34,500.81,115.39,-0.38,107.37,6.24,211.73,40.63,62578.83,19757,0.51,7546,-5742,12450,-10380,20.05,52.59,497.54,313.46,8.76,12.72,99.48,3.97,Control
297,551.72,323.62,372.97,524.82,118.21,-0.61,108.02,5.54,228.1,41.34,67753.32,21515,0.47,7797,-5569,10743,-10150,16.44,60.67,527.41,327.84,8.53,12.35,101.71,3.69,Control
302,557.5,342.07,380.61,484.21,117.88,-2.06,106.34,3.62,215.43,38.64,64953.51,21096,0.49,7876,-5899,18744,-7711,14.07,55.33,542.23,345.48,8.02,12.26,96.43,4.11,Control
306,542.53,339.63,388.24,478.79,113.79,-2.72,106.81,3.29,202.9,37.4,62112.45,19351,0.53,7625,-6275,17340,-7632,13.33,55.57,520.15,344.81,7.8,12.69,95.57,4.17,Control
296,531.04,323.17,373.26,494.88,113.05,-0.06,105.54,6.37,207.88,39.14,61441.1,19487,0.51,7609,-5868,16378,-8818,16.75,56.2,507.48,326.95,8.69,12.64,90.91,3.71,Control
